image_path,label,gen,form,base_id,base_name,silhouette_path
data/images/hq/001.png,bulbasaur,1,,1,bulbasaur,data/images/silhouette/001.png
data/images/hq/002.png,ivysaur,1,,2,ivysaur,data/images/silhouette/002.png
data/images/hq/003-Gmax.png,venusaur-gmax,1,gmax,3,venusaur,data/images/silhouette/003-Gmax.png
data/images/hq/003-Mega.png,venusaur-mega,1,mega,3,venusaur,data/images/silhouette/003-Mega.png
data/images/hq/003.png,venusaur,1,,3,venusaur,data/images/silhouette/003.png
data/images/hq/004.png,charmander,1,,4,charmander,data/images/silhouette/004.png
data/images/hq/005.png,charmeleon,1,,5,charmeleon,data/images/silhouette/005.png
data/images/hq/006-Gmax.png,charizard-gmax,1,gmax,6,charizard,data/images/silhouette/006-Gmax.png
data/images/hq/006-Mega-X.png,charizard-mega-x,1,mega-x,6,charizard,data/images/silhouette/006-Mega-X.png
data/images/hq/006-Mega-Y.png,charizard-mega-y,1,mega-y,6,charizard,data/images/silhouette/006-Mega-Y.png
data/images/hq/006.png,charizard,1,,6,charizard,data/images/silhouette/006.png
data/images/hq/007.png,squirtle,1,,7,squirtle,data/images/silhouette/007.png
data/images/hq/008.png,wartortle,1,,8,wartortle,data/images/silhouette/008.png
data/images/hq/009-Gmax.png,blastoise-gmax,1,gmax,9,blastoise,data/images/silhouette/009-Gmax.png
data/images/hq/009-Mega.png,blastoise-mega,1,mega,9,blastoise,data/images/silhouette/009-Mega.png
data/images/hq/009.png,blastoise,1,,9,blastoise,data/images/silhouette/009.png
data/images/hq/010.png,caterpie,1,,10,caterpie,data/images/silhouette/010.png
data/images/hq/011.png,metapod,1,,11,metapod,data/images/silhouette/011.png
data/images/hq/012-Gmax.png,butterfree-gmax,1,gmax,12,butterfree,data/images/silhouette/012-Gmax.png
data/images/hq/012.png,butterfree,1,,12,butterfree,data/images/silhouette/012.png
data/images/hq/013.png,weedle,1,,13,weedle,data/images/silhouette/013.png
data/images/hq/014.png,kakuna,1,,14,kakuna,data/images/silhouette/014.png
data/images/hq/015-Mega.png,beedrill-mega,1,mega,15,beedrill,data/images/silhouette/015-Mega.png
data/images/hq/015.png,beedrill,1,,15,beedrill,data/images/silhouette/015.png
data/images/hq/016.png,pidgey,1,,16,pidgey,data/images/silhouette/016.png
data/images/hq/017.png,pidgeotto,1,,17,pidgeotto,data/images/silhouette/017.png
data/images/hq/018-Mega.png,pidgeot-mega,1,mega,18,pidgeot,data/images/silhouette/018-Mega.png
data/images/hq/018.png,pidgeot,1,,18,pidgeot,data/images/silhouette/018.png
data/images/hq/019-Alola.png,rattata-alola,1,alola,19,rattata,data/images/silhouette/019-Alola.png
data/images/hq/019.png,rattata,1,,19,rattata,data/images/silhouette/019.png
data/images/hq/020-Alola.png,raticate-alola,1,alola,20,raticate,data/images/silhouette/020-Alola.png
data/images/hq/020.png,raticate,1,,20,raticate,data/images/silhouette/020.png
data/images/hq/021.png,spearow,1,,21,spearow,data/images/silhouette/021.png
data/images/hq/022.png,fearow,1,,22,fearow,data/images/silhouette/022.png
data/images/hq/023.png,ekans,1,,23,ekans,data/images/silhouette/023.png
data/images/hq/024.png,arbok,1,,24,arbok,data/images/silhouette/024.png
data/images/hq/025-Alola-Cap.png,pikachu-alola-cap,1,alola-cap,25,pikachu,data/images/silhouette/025-Alola-Cap.png
data/images/hq/025-Belle.png,pikachu-belle,1,belle,25,pikachu,data/images/silhouette/025-Belle.png
data/images/hq/025-Cosplay.png,pikachu-cosplay,1,cosplay,25,pikachu,data/images/silhouette/025-Cosplay.png
data/images/hq/025-Gmax.png,pikachu-gmax,1,gmax,25,pikachu,data/images/silhouette/025-Gmax.png
data/images/hq/025-Hoenn-Cap.png,pikachu-hoenn-cap,1,hoenn-cap,25,pikachu,data/images/silhouette/025-Hoenn-Cap.png
data/images/hq/025-Kalos-Cap.png,pikachu-kalos-cap,1,kalos-cap,25,pikachu,data/images/silhouette/025-Kalos-Cap.png
data/images/hq/025-Libre.png,pikachu-libre,1,libre,25,pikachu,data/images/silhouette/025-Libre.png
data/images/hq/025-Original-Cap.png,pikachu-original-cap,1,original-cap,25,pikachu,data/images/silhouette/025-Original-Cap.png
data/images/hq/025-Partner-Cap.png,pikachu-partner-cap,1,partner-cap,25,pikachu,data/images/silhouette/025-Partner-Cap.png
data/images/hq/025-Phd.png,pikachu-phd,1,phd,25,pikachu,data/images/silhouette/025-Phd.png
data/images/hq/025-Pop-Star.png,pikachu-pop-star,1,pop-star,25,pikachu,data/images/silhouette/025-Pop-Star.png
data/images/hq/025-Rock-Star.png,pikachu-rock-star,1,rock-star,25,pikachu,data/images/silhouette/025-Rock-Star.png
data/images/hq/025-Sinnoh-Cap.png,pikachu-sinnoh-cap,1,sinnoh-cap,25,pikachu,data/images/silhouette/025-Sinnoh-Cap.png
data/images/hq/025-Starter.png,pikachu-starter,1,starter,25,pikachu,data/images/silhouette/025-Starter.png
data/images/hq/025-Unova-Cap.png,pikachu-unova-cap,1,unova-cap,25,pikachu,data/images/silhouette/025-Unova-Cap.png
data/images/hq/025-World-Cap.png,pikachu-world-cap,1,world-cap,25,pikachu,data/images/silhouette/025-World-Cap.png
data/images/hq/025.png,pikachu,1,,25,pikachu,data/images/silhouette/025.png
data/images/hq/026-Alola.png,raichu-alola,1,alola,26,raichu,data/images/silhouette/026-Alola.png
data/images/hq/026.png,raichu,1,,26,raichu,data/images/silhouette/026.png
data/images/hq/027-Alola.png,sandshrew-alola,1,alola,27,sandshrew,data/images/silhouette/027-Alola.png
data/images/hq/027.png,sandshrew,1,,27,sandshrew,data/images/silhouette/027.png
data/images/hq/028-Alola.png,sandslash-alola,1,alola,28,sandslash,data/images/silhouette/028-Alola.png
data/images/hq/028.png,sandslash,1,,28,sandslash,data/images/silhouette/028.png
data/images/hq/029.png,nidoran-f,1,,29,nidoran-f,data/images/silhouette/029.png
data/images/hq/030.png,nidorina,1,,30,nidorina,data/images/silhouette/030.png
data/images/hq/031.png,nidoqueen,1,,31,nidoqueen,data/images/silhouette/031.png
data/images/hq/032.png,nidoran-m,1,,32,nidoran-m,data/images/silhouette/032.png
data/images/hq/033.png,nidorino,1,,33,nidorino,data/images/silhouette/033.png
data/images/hq/034.png,nidoking,1,,34,nidoking,data/images/silhouette/034.png
