image_path,label,gen,form,base_id,base_name
data/images/hq/001.png,bulbasaur,1,,1,bulbasaur
data/images/hq/002.png,ivysaur,1,,2,ivysaur
data/images/hq/003-Gmax.png,venusaur-gmax,1,gmax,3,venusaur
data/images/hq/003-Mega.png,venusaur-mega,1,mega,3,venusaur
data/images/hq/003.png,venusaur,1,,3,venusaur
data/images/hq/004.png,charmander,1,,4,charmander
data/images/hq/005.png,charmeleon,1,,5,charmeleon
data/images/hq/006-Gmax.png,charizard-gmax,1,gmax,6,charizard
data/images/hq/006-Mega-X.png,charizard-mega-x,1,mega-x,6,charizard
data/images/hq/006-Mega-Y.png,charizard-mega-y,1,mega-y,6,charizard
data/images/hq/006.png,charizard,1,,6,charizard
data/images/hq/007.png,squirtle,1,,7,squirtle
data/images/hq/008.png,wartortle,1,,8,wartortle
data/images/hq/009-Gmax.png,blastoise-gmax,1,gmax,9,blastoise
data/images/hq/009-Mega.png,blastoise-mega,1,mega,9,blastoise
data/images/hq/009.png,blastoise,1,,9,blastoise
data/images/hq/010.png,caterpie,1,,10,caterpie
data/images/hq/011.png,metapod,1,,11,metapod
data/images/hq/012-Gmax.png,butterfree-gmax,1,gmax,12,butterfree
data/images/hq/012.png,butterfree,1,,12,butterfree
data/images/hq/013.png,weedle,1,,13,weedle
data/images/hq/014.png,kakuna,1,,14,kakuna
data/images/hq/015-Mega.png,beedrill-mega,1,mega,15,beedrill
data/images/hq/015.png,beedrill,1,,15,beedrill
data/images/hq/016.png,pidgey,1,,16,pidgey
data/images/hq/017.png,pidgeotto,1,,17,pidgeotto
data/images/hq/018-Mega.png,pidgeot-mega,1,mega,18,pidgeot
data/images/hq/018.png,pidgeot,1,,18,pidgeot
data/images/hq/019-Alola.png,rattata-alola,1,alola,19,rattata
data/images/hq/019.png,rattata,1,,19,rattata
data/images/hq/020-Alola.png,raticate-alola,1,alola,20,raticate
data/images/hq/020.png,raticate,1,,20,raticate
data/images/hq/021.png,spearow,1,,21,spearow
data/images/hq/022.png,fearow,1,,22,fearow
data/images/hq/023.png,ekans,1,,23,ekans
data/images/hq/024.png,arbok,1,,24,arbok
data/images/hq/025-Alola-Cap.png,pikachu-alola-cap,1,alola-cap,25,pikachu
data/images/hq/025-Belle.png,pikachu-belle,1,belle,25,pikachu
data/images/hq/025-Cosplay.png,pikachu-cosplay,1,cosplay,25,pikachu
data/images/hq/025-Gmax.png,pikachu-gmax,1,gmax,25,pikachu
data/images/hq/025-Hoenn-Cap.png,pikachu-hoenn-cap,1,hoenn-cap,25,pikachu
data/images/hq/025-Kalos-Cap.png,pikachu-kalos-cap,1,kalos-cap,25,pikachu
data/images/hq/025-Libre.png,pikachu-libre,1,libre,25,pikachu
data/images/hq/025-Original-Cap.png,pikachu-original-cap,1,original-cap,25,pikachu
data/images/hq/025-Partner-Cap.png,pikachu-partner-cap,1,partner-cap,25,pikachu
data/images/hq/025-Phd.png,pikachu-phd,1,phd,25,pikachu
data/images/hq/025-Pop-Star.png,pikachu-pop-star,1,pop-star,25,pikachu
data/images/hq/025-Rock-Star.png,pikachu-rock-star,1,rock-star,25,pikachu
data/images/hq/025-Sinnoh-Cap.png,pikachu-sinnoh-cap,1,sinnoh-cap,25,pikachu
data/images/hq/025-Starter.png,pikachu-starter,1,starter,25,pikachu
data/images/hq/025-Unova-Cap.png,pikachu-unova-cap,1,unova-cap,25,pikachu
data/images/hq/025-World-Cap.png,pikachu-world-cap,1,world-cap,25,pikachu
data/images/hq/025.png,pikachu,1,,25,pikachu
data/images/hq/026-Alola.png,raichu-alola,1,alola,26,raichu
data/images/hq/026.png,raichu,1,,26,raichu
data/images/hq/027-Alola.png,sandshrew-alola,1,alola,27,sandshrew
data/images/hq/027.png,sandshrew,1,,27,sandshrew
data/images/hq/028-Alola.png,sandslash-alola,1,alola,28,sandslash
data/images/hq/028.png,sandslash,1,,28,sandslash
data/images/hq/029.png,nidoran-f,1,,29,nidoran-f
data/images/hq/030.png,nidorina,1,,30,nidorina
data/images/hq/031.png,nidoqueen,1,,31,nidoqueen
data/images/hq/032.png,nidoran-m,1,,32,nidoran-m
data/images/hq/033.png,nidorino,1,,33,nidorino
data/images/hq/034.png,nidoking,1,,34,nidoking
data/images/hq/035.png,clefairy,1,,35,clefairy
data/images/hq/036.png,clefable,1,,36,clefable
data/images/hq/037-Alola.png,vulpix-alola,1,alola,37,vulpix
data/images/hq/037.png,vulpix,1,,37,vulpix
data/images/hq/038-Alola.png,ninetales-alola,1,alola,38,ninetales
data/images/hq/038.png,ninetales,1,,38,ninetales
data/images/hq/039.png,jigglypuff,1,,39,jigglypuff
data/images/hq/040.png,wigglytuff,1,,40,wigglytuff
data/images/hq/041.png,zubat,1,,41,zubat
data/images/hq/042.png,golbat,1,,42,golbat
data/images/hq/043.png,oddish,1,,43,oddish
data/images/hq/044.png,gloom,1,,44,gloom
data/images/hq/045.png,vileplume,1,,45,vileplume
data/images/hq/046.png,paras,1,,46,paras
data/images/hq/047.png,parasect,1,,47,parasect
data/images/hq/048.png,venonat,1,,48,venonat
data/images/hq/049.png,venomoth,1,,49,venomoth
data/images/hq/050-Alola.png,diglett-alola,1,alola,50,diglett
data/images/hq/050.png,diglett,1,,50,diglett
data/images/hq/051-Alola.png,dugtrio-alola,1,alola,51,dugtrio
data/images/hq/051.png,dugtrio,1,,51,dugtrio
data/images/hq/052-Alola.png,meowth-alola,1,alola,52,meowth
data/images/hq/052-Galar.png,meowth-galar,1,galar,52,meowth
data/images/hq/052-Gmax.png,meowth-gmax,1,gmax,52,meowth
data/images/hq/052.png,meowth,1,,52,meowth
data/images/hq/053-Alola.png,persian-alola,1,alola,53,persian
data/images/hq/053.png,persian,1,,53,persian
data/images/hq/054.png,psyduck,1,,54,psyduck
data/images/hq/055.png,golduck,1,,55,golduck
data/images/hq/056.png,mankey,1,,56,mankey
data/images/hq/057.png,primeape,1,,57,primeape
data/images/hq/058-Hisui.png,growlithe-hisui,1,hisui,58,growlithe
data/images/hq/058.png,growlithe,1,,58,growlithe
data/images/hq/059-Hisui.png,arcanine-hisui,1,hisui,59,arcanine
data/images/hq/059.png,arcanine,1,,59,arcanine
data/images/hq/060.png,poliwag,1,,60,poliwag
data/images/hq/061.png,poliwhirl,1,,61,poliwhirl
data/images/hq/062.png,poliwrath,1,,62,poliwrath
data/images/hq/063.png,abra,1,,63,abra
data/images/hq/064.png,kadabra,1,,64,kadabra
data/images/hq/065-Mega.png,alakazam-mega,1,mega,65,alakazam
data/images/hq/065.png,alakazam,1,,65,alakazam
data/images/hq/066.png,machop,1,,66,machop
data/images/hq/067.png,machoke,1,,67,machoke
data/images/hq/068-Gmax.png,machamp-gmax,1,gmax,68,machamp
data/images/hq/068.png,machamp,1,,68,machamp
data/images/hq/069.png,bellsprout,1,,69,bellsprout
